participant_id,condition,modality,trial_type,is_target_trial,RT_ms,hit,false_alarm,n_clicks,inter_click_ms,trial_duration_ms,source_file,Level,PlayerID,Timestamp,GameMode,final_score,Completed,success_rate,hit_rate,false_alarms,avg_inter_target_ms,"HitPositions(x,y)",failed_levels
27,Multiple,Lab,red,True,1024.48650000008,1.0,0.0,5.0,929.7132749999832,4749.345400000038,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,white,False,973.5940000000483,,0.0,4.0,1658.2397499999786,7614.901400000008,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,white,False,1851.9142000000102,,0.0,5.0,2170.698975000022,10542.604900000015,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,white,False,1178.6657999999761,,0.0,5.0,1257.9684250000014,6212.685499999907,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,red,True,1029.4983999999658,1.0,0.0,5.0,847.1997750000071,4424.570500000073,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
27,Multiple,Lab,white,False,980.1304999999729,,0.0,4.0,724.2496500000186,3882.948400000032,27_visual_search_2026-02-07_05h42.18.301.csv,,,,,,,,,,,,
28,Multiple,Lab,white,False,1772.7247000000261,,0.0,5.0,1183.4820249999893,6472.888099999977,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,red,True,1277.0543000000316,1.0,0.0,5.0,966.1971999999821,5143.843299999958,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,white,False,1718.456500000002,,0.0,5.0,1263.4446250000053,6775.224399999956,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,white,False,1758.7852999999996,,0.0,5.0,1093.5854249999863,6134.078199999976,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,red,True,1693.6933000000636,1.0,0.0,5.0,922.9358249999962,5390.697600000067,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,white,False,2121.4297000000215,,0.0,5.0,1016.1058999999852,6191.270799999984,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,white,False,1521.9650000000229,,0.0,5.0,1383.1823749999899,7061.444000000051,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,white,False,1740.0508000000627,,0.0,4.0,763.668674999991,4804.9757,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,red,True,2007.4419000000034,1.0,0.0,5.0,825.5463000000134,5317.118499999992,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,white,False,1405.4044000000658,,0.0,5.0,1140.6235249999952,5978.8098999999875,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,red,True,1303.7361000000374,1.0,0.0,5.0,720.5254000000139,4190.910600000052,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,white,False,1655.894000000103,,0.0,5.0,924.5612749999736,5361.464800000022,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,white,False,1553.3631999999216,,0.0,5.0,1647.2128750000081,8151.388699999984,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,red,True,1499.874400000067,1.0,0.0,5.0,1210.1252249999845,6350.720900000056,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
28,Multiple,Lab,white,False,1917.1022000000448,,0.0,5.0,1681.6590500000075,8644.013900000005,28_visual_search_2026-02-07_05h49.57.981.csv,,,,,,,,,,,,
29,Multiple,Lab,white,False,2001.3483999998698,,0.0,5.0,1112.0097250000072,6441.754499999888,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,red,True,1498.2758000001013,1.0,0.0,5.0,1114.8216749999733,5955.973699999959,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,white,False,1192.760299999918,,0.0,5.0,1243.7455749999913,6171.659399999953,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,white,False,1450.7492999998703,,0.0,5.0,1005.7737999999858,5483.9746000000105,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,red,True,1532.2754000001169,1.0,0.0,5.0,1096.3611499999502,5917.271000000028,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,white,False,1376.9577000000481,,0.0,5.0,996.2783999999942,5360.386100000142,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,white,False,1498.8869999999679,,0.0,5.0,1147.1422750000215,6094.630999999936,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,red,True,1201.1033999999654,1.0,0.0,5.0,989.6296750000033,5169.472999999925,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,white,False,1258.9880000000448,,0.0,5.0,1062.3937749999754,5515.031900000167,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,red,True,1153.946200000064,0.6,0.0,3.0,927.489874999992,4871.290799999997,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,white,False,1545.6305999998676,,0.0,3.0,887.3075250000397,5103.216100000054,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,white,False,1115.9359000000677,,0.0,4.0,869.2816999999877,4599.129199999879,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,white,False,1177.7134999999817,,0.0,5.0,1035.1974000000155,5321.942799999988,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,red,True,889.7803999998359,1.0,0.0,5.0,894.5244250000428,4470.613800000137,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
29,Multiple,Lab,white,False,950.704000000087,,0.0,4.0,807.7585749999798,4188.697499999989,29_visual_search_2026-02-07_05h58.57.667.csv,,,,,,,,,,,,
30,Multiple,Lab,white,False,2264.185699999871,,0.0,5.0,4077.185224999994,18562.862100000075,30_visual_search_2026-02-07_06h26.38.028.csv,,,,,,,,,,,,
30,Multiple,Lab,white,False,3032.599399999981,,0.0,5.0,1620.9343000000445,9507.589800000005,30_visual_search_2026-02-07_06h26.38.028.csv,,,,,,,,,,,,
30,Multiple,Lab,red,True,9368.01830000013,1.0,0.0,5.0,1107.7688000000308,13799.862699999721,30_visual_search_2026-02-07_06h26.38.028.csv,,,,,,,,,,,,
30,Multiple,Lab,red,True,1567.1424000001934,1.0,0.0,5.0,1243.7754750000067,6545.68270000027,30_visual_search_2026-02-07_06h26.38.028.csv,,,,,,,,,,,,
